species,MEY11_0,MEY11_1,MEY11_2,MEY11_3,MEY11_4,MEY11_5,MEY11_6,MEY11_7,MEY11_8,MEY11_9,MEY4_0,MEY4_1,MEY4_2,MEY4_3,MEY4_4,MEY4_5,MEY4_6,MEY4_7,MEY4_8,MEY4_9,MEY7_0,MEY7_1,MEY7_2,MEY7_3,MEY7_4,MEY7_5,MEY7_6,MEY7_7,MEY7_8,MEY7_8_control,MEY7_9,MEY8_0,MEY8_1,MEY8_2,MEY8_3,MEY8_4,MEY8_5,MEY8_6,MEY8_7,MEY8_8,MEY8_9,total,superkingdom,kingdom,phylum,class,order,family,genus,tax
Brevibacillus levickii,0,3,2,2,2,1,1,4,3,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,3,2,2,5,41,Bacteria,none,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Bacteria;none;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Brevibacillus;Brevibacillus levickii
Tindallia texcoconensis,3,5,3,2,1,3,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0,41,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Tindallia,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Tindallia;Tindallia texcoconensis
Salicibibacter halophilus,0,4,0,0,9,0,8,4,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,Bacteria,none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Salicibibacter,Bacteria;none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Salicibibacter;Salicibibacter halophilus
Proteinivorax hydrogeniformans,7,3,0,6,0,3,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,3,0,0,6,41,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Proteinivoraceae,Proteinivorax,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Proteinivoraceae;Proteinivorax;Proteinivorax hydrogeniformans
Thermoanaerobacter kivui,0,3,1,3,4,0,5,2,3,6,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,5,0,2,0,41,Bacteria,none,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,Bacteria;none;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Thermoanaerobacter;Thermoanaerobacter kivui
Paenibacillus kyungheensis,0,1,3,10,1,0,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4,0,1,0,0,1,0,0,4,1,0,3,40,Bacteria,none,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Bacteria;none;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus kyungheensis
Clostridium bornimense,1,1,5,0,4,1,3,2,3,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3,4,4,2,40,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium bornimense
Lysinibacillus odysseyi,0,1,1,3,5,1,1,0,5,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,1,0,1,2,2,40,Bacteria,none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Bacteria;none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Lysinibacillus;Lysinibacillus odysseyi
Marininema mesophilum,5,3,2,0,1,3,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,2,0,2,2,40,Bacteria,none,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Marininema,Bacteria;none;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Marininema;Marininema mesophilum
Cytobacillus solani,0,0,0,3,3,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,5,0,3,3,39,Bacteria,none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Cytobacillus,Bacteria;none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Cytobacillus;Cytobacillus solani
Anaerovibrio slackiae,1,4,3,2,2,0,1,3,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,5,3,2,4,39,Bacteria,none,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Anaerovibrio,Bacteria;none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Anaerovibrio;Anaerovibrio slackiae
Lactobacillus delbrueckii,21,1,0,2,1,2,1,1,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,39,Bacteria,none,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Bacteria;none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus delbrueckii
Lactococcus lactis,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,Bacteria,none,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Bacteria;none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus lactis
Paenibacillus yonginensis,6,3,3,5,2,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,3,0,1,39,Bacteria,none,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Bacteria;none;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus yonginensis
Paenibacillus curdlanolyticus,4,2,7,2,2,1,2,1,4,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,3,39,Bacteria,none,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Bacteria;none;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus curdlanolyticus
Paludibacter jiangxiensis,2,0,4,3,6,3,3,2,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,2,39,Bacteria,none,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,Bacteria;none;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae;Paludibacter;Paludibacter jiangxiensis
Peptoniphilus raoultii,0,2,0,0,1,0,1,24,7,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,Bacteria,none,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,Bacteria;none;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;Peptoniphilus;Peptoniphilus raoultii
Alteribacter lacisalsi,0,2,0,4,2,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,2,0,4,0,0,4,0,4,39,Bacteria,none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Alteribacter,Bacteria;none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Alteribacter;Alteribacter lacisalsi
Lactobacillus intestinalis,20,4,1,0,1,1,1,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,39,Bacteria,none,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Bacteria;none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus intestinalis
Tractidigestivibacter scatoligenes,0,3,4,4,0,1,5,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,1,1,3,1,39,Bacteria,none,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Tractidigestivibacter,Bacteria;none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Tractidigestivibacter;Tractidigestivibacter scatoligenes
Thermosediminibacter oceani,2,2,3,2,0,3,6,6,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3,3,38,Bacteria,none,Firmicutes,Clostridia,Thermosediminibacterales,Thermosediminibacteraceae,Thermosediminibacter,Bacteria;none;Firmicutes;Clostridia;Thermosediminibacterales;Thermosediminibacteraceae;Thermosediminibacter;Thermosediminibacter oceani
Streptococcus chenjunshii,0,1,7,2,4,1,1,0,1,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,1,1,2,0,2,1,0,1,38,Bacteria,none,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Bacteria;none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus chenjunshii
Natribacillus halophilus,4,3,3,3,0,2,2,3,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,4,0,3,0,1,1,38,Bacteria,none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Natribacillus,Bacteria;none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Natribacillus;Natribacillus halophilus
Alicyclobacillus acidiphilus,3,2,1,3,2,0,1,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5,0,3,3,2,38,Bacteria,none,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Bacteria;none;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Alicyclobacillus;Alicyclobacillus acidiphilus
Pediococcus siamensis,1,1,3,5,1,4,3,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,2,2,0,0,0,0,0,1,2,1,1,1,38,Bacteria,none,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Bacteria;none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus;Pediococcus siamensis
Nodosilinea ramsarensis,2,0,6,0,3,3,4,3,0,2,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,3,38,Bacteria,none,Cyanobacteria,Cyanobacteria_Incertae_sedis,Pseudanabaenales,Prochlorotrichaceae,Nodosilinea,Bacteria;none;Cyanobacteria;Cyanobacteria_Incertae_sedis;Pseudanabaenales;Prochlorotrichaceae;Nodosilinea;Nodosilinea ramsarensis
Vallitalea okinawensis,0,2,3,6,1,3,5,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,5,0,1,2,38,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Vallitaleaceae,Vallitalea,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Vallitaleaceae;Vallitalea;Vallitalea okinawensis
Hornefia porci,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,38,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Eubacteriales Family XIII. Incertae Sedis,Hornefia,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Hornefia;Hornefia porci
Cupriavidus basilensis,3,3,1,4,1,2,3,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,1,0,4,0,2,0,3,1,38,Bacteria,none,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Bacteria;none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;Cupriavidus basilensis
