genus,MEY11_0,MEY11_1,MEY11_2,MEY11_3,MEY11_4,MEY11_5,MEY11_6,MEY11_7,MEY11_8,MEY11_9,MEY4_0,MEY4_1,MEY4_2,MEY4_3,MEY4_4,MEY4_5,MEY4_6,MEY4_7,MEY4_8,MEY4_9,MEY7_0,MEY7_1,MEY7_2,MEY7_3,MEY7_4,MEY7_5,MEY7_6,MEY7_7,MEY7_8,MEY7_8_control,MEY7_9,MEY8_0,MEY8_1,MEY8_2,MEY8_3,MEY8_4,MEY8_5,MEY8_6,MEY8_7,MEY8_8,MEY8_9,total,superkingdom,kingdom,phylum,class,order,family,tax
Luxibacter,1536.0,1801.0,1424.0,2893.0,2089,1177.0,1659.0,1982.0,4437.0,3403.0,63,97.0,390.0,278.0,262.0,272.0,284,448,428.0,529.0,156.0,229.0,173.0,196.0,221.0,137,227.0,232.0,236.0,662.0,116.0,331.0,566.0,286.0,459.0,2538.0,890.0,1941.0,1039.0,2152.0,2031.0,40270.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Luxibacter
Roseburia,2261.0,2089.0,3558.0,3432.0,3561,1043.0,847.0,1720.0,980.0,2236.0,157,250.0,448.0,281.0,953.0,763.0,995,383,538.0,880.0,74.0,124.0,116.0,177.0,105.0,164,237.0,336.0,392.0,1050.0,340.0,192.0,639.0,426.0,219.0,1339.0,823.0,926.0,712.0,1146.0,1308.0,38220.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia
Flintibacter,2443.0,1609.0,3167.0,2511.0,3102,1331.0,1833.0,2072.0,1498.0,3121.0,57,191.0,212.0,191.0,217.0,165.0,229,194,135.0,280.0,168.0,263.0,214.0,314.0,183.0,218,275.0,302.0,277.0,713.0,239.0,303.0,181.0,120.0,224.0,1279.0,465.0,1231.0,1073.0,1674.0,1902.0,36176.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Eubacteriales_Incertae_sedis,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Flintibacter
Paramuribaculum,2111.0,793.0,3299.0,2121.0,5055,3344.0,1555.0,2032.0,835.0,1518.0,257,54.0,161.0,124.0,86.0,89.0,89,98,326.0,68.0,576.0,167.0,110.0,225.0,159.0,244,73.0,405.0,154.0,407.0,290.0,360.0,72.0,268.0,194.0,1420.0,553.0,1640.0,1294.0,859.0,2209.0,35694.0,Bacteria,none,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Bacteria;none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum
Cuneatibacter,1047.0,925.0,1023.0,1137.0,1783,850.0,839.0,608.0,2275.0,1290.0,23,52.0,83.0,37.0,116.0,112.0,139,228,328.0,361.0,387.0,403.0,412.0,553.0,660.0,502,748.0,956.0,872.0,2068.0,531.0,292.0,545.0,330.0,475.0,3097.0,930.0,1935.0,1153.0,2681.0,1294.0,34080.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Cuneatibacter
Acutalibacter,1062.0,1385.0,2025.0,2742.0,4299,1806.0,1848.0,3107.0,1394.0,2611.0,28,25.0,45.0,24.0,47.0,24.0,47,76,85.0,195.0,417.0,367.0,285.0,541.0,167.0,153,130.0,265.0,157.0,433.0,147.0,323.0,223.0,336.0,197.0,1073.0,537.0,1264.0,816.0,1164.0,1529.0,33399.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Acutalibacter
Herbinix,2677.0,1709.0,1322.0,1758.0,2834,1707.0,2817.0,2380.0,1982.0,2341.0,19,189.0,217.0,93.0,182.0,142.0,254,212,70.0,213.0,132.0,282.0,316.0,286.0,108.0,366,458.0,578.0,421.0,1185.0,276.0,99.0,144.0,209.0,268.0,681.0,398.0,388.0,535.0,1828.0,454.0,32530.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Herbinix
Intestinimonas,1075.0,1053.0,1568.0,1483.0,1690,1132.0,1990.0,3647.0,1790.0,2380.0,26,32.0,122.0,177.0,321.0,198.0,262,400,440.0,483.0,189.0,141.0,190.0,375.0,153.0,119,179.0,211.0,177.0,505.0,194.0,300.0,155.0,255.0,165.0,921.0,682.0,1553.0,868.0,1461.0,1747.0,30809.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Eubacteriales_Incertae_sedis,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Intestinimonas
Marseillibacter,1268.0,1315.0,1643.0,1350.0,2865,1442.0,1818.0,1477.0,1161.0,2172.0,31,116.0,276.0,100.0,89.0,77.0,126,199,600.0,307.0,188.0,472.0,415.0,417.0,167.0,189,253.0,299.0,211.0,575.0,183.0,470.0,269.0,169.0,167.0,1187.0,429.0,1014.0,964.0,1113.0,896.0,28479.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Marseillibacter
Lachnoanaerobaculum,2294.0,1894.0,1493.0,1829.0,1812,799.0,877.0,1131.0,2006.0,2193.0,156,261.0,560.0,227.0,191.0,106.0,145,206,212.0,247.0,104.0,120.0,143.0,221.0,106.0,143,163.0,238.0,191.0,550.0,198.0,197.0,251.0,305.0,193.0,1230.0,599.0,995.0,450.0,1119.0,1112.0,27267.0,Bacteria,none,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bacteria;none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum
